id,name,year,month,day,hour,estimated_time,importance,done,
0,수학세미나tr김하림,2020,6,28,23,2,5,1,
1,수학세미나tr이성현,2020,6,28,23,2,5,1,
2,정과세보고서초안,2020,7,5,23,0,5,1,
3,정보과학프로젝트,2020,7,15,23,4,5,0,
5,test,2020,6,25,20,1,2,1,
6,일본어,2020,7,15,23,2,5,0,
9,정과세ppt,2020,6,29,18,0,5,1,
10,수학탐구보고서,2020,7,19,23,2,5,0,
11,문제만들기,2020,7,12,23,4,5,0,
12,굿모닝수학,2020,7,1,23,2,4,0,
13,정과프2차보고서,2020,6,30,23,0,5,0,
14,선대과제,2020,7,5,23,3,5,0,
15,졸업논문,2020,7,15,23,5,5,0,
16,수세퀴즈,2020,7,3,13,2,4,0,
17,정과세보고서최종,2020,7,12,23,2,5,0,
18,창글_정선쌤,2020,7,4,0,0,4,0,
19,ProjectBaseResearch,2020,7,4,20,0,4,0,
21,MathSemina_Probability_GoogleQuize,2020,7,5,23,2,5,0,
22,물리학세미나_문제풀기,2020,7,9,9,1,5,0,
23,GradThesis,2020,7,5,16,1,4,0,
24,서평쓰기,2020,7,6,18,2,5,0,
25,eat ddeokppokki,2020,7,3,23,1,5,0,
26,LastTest,2020,7,16,15,6,5,0,
30,test2,2020,7,16,22,1,1,0,
34,qwet,2020,7,16,22,1,1,0,
